originSize: 158823    uniqsize: 29003
SIP DIP  SP   DP    PROT     NUM: 
730555766 19033841  36871   9339    6     2
1119960288 2452052166  18532   28026    17     27
3571787803 21222506  35787   9339    6     1
730555788 23563012  55252   9339    6     1
2862800852 734962107  12737   80    6     27
2077822217 736903386  56303   80    6     2
227015951 66798060  59128   80    6     3
2595289314 2579609696  16920   3491    17     31
1237842620 3327463662  39120   80    6     24
3341982772 23489682  4364   8443    6     2
1886894903 23517240  53889   443    6     1
1956922606 736915525  31251   443    6     2
2450080321 66892160  9113   80    6     1
666313876 23174693  35367   443    6     4
3362588401 3710836119  64096   9043    17     10
1259396336 3327463662  34545   80    6     7
191748914 2439473087  54989   443    6     10
2047508234 59496186  56599   3478    17     1
3619443781 602983408  52122   443    6     5
722791731 3504996085  55228   443    6     6
1956924019 23106292  62489   443    6     1
2452657566 3710835829  53321   443    6     8
2153013113 22141857  47555   443    6     2
1227203983 3530301537  52304   8080    6     2
1256900518 721988789  1367   443    6     13
1956914428 737135090  23387   443    6     1
3384586252 19837591  34476   443    6     6
1913999178 21764110  56140   80    6     2
1131179095 3547002473  59427   80    6     1
1760125408 19830940  49652   443    6     8
2125197830 1875764399  53910   8080    17     86
1967428088 23106699  57605   443    6     3
1693157860 724248651  49623   80    6     1
3617879019 602983364  49643   443    6     53
2011981959 23111654  31165   443    6     48
1139242672 3692795768  3836   26688    17     15
1113814684 737992888  2444   80    6     2
730555753 17804973  21667   9339    6     1
3289064372 737144874  51602   443    6     4
3088415618 3547001404  80   58697    6     2
2341638446 602983364  23444   443    6     23
2636947935 724248668  64354   80    6     20
3696224648 19004800  20407   7985    17     20
613070119 23906324  17360   80    6     1
2644256778 724248761  20862   80    6     1
2472689168 2766478892  443   32437    6     1
1783900014 26425636  54307   9339    6     1
1809587814 1760528555  51413   4898    17     46
3900691131 0  0   0    244     27
2071413049 21763088  53299   443    6     5
1593454314 1875764320  54572   59230    6     114
2476397304 602983415  32815   443    6     7
1873617339 3327463662  34749   80    6     1
3327711880 3327712022  52128   20592    17     15
3375693306 1158353875  31101   443    6     1
3372874713 2579592551  49467   80    6     116
1245814890 3526528052  50053   443    6     2
864448529 1146388395  53618   51718    17     15
2341737131 602983405  63733   443    6     12
2348377490 724248761  51975   80    6     19
1864759656 1797075729  52920   80    6     1
1758544457 1797207106  48719   80    6     6
3327712557 3327712048  58956   15240    17     15
1783899858 19261681  40499   9339    6     2
23871982 23905734  26808   443    6     67
3327712508 3327712113  58424   33452    17     15
730555750 22100091  44361   9339    6     2
2593639002 3530299929  24240   7610    6     7
2218467350 3327712049  18996   61570    17     15
3479668499 65901437  58403   443    6     10
3710866302 256244025  17095   17012    50     49
3327375028 100424799  2703   37403    6     7
730555768 16918200  1533   9339    6     1
1671310459 19847204  44939   8100    6     4
2362854262 1875760561  25655   80    6     1
1139243336 3692795745  45478   16384    17     15
3692778515 724248600  35022   80    6     2
2395013241 1130581915  62088   1024    17     2
656345293 2637498115  18805   5938    6     1
1189714078 3530307824  8993   80    6     3
2184721791 21766662  56046   443    6     1
2150463836 23111341  49329   443    6     35
731643577 1099795426  80   45114    6     4
666309562 21045215  46851   443    6     4
2011914356 23491664  59438   443    6     2
3481847334 23111509  40885   443    6     53
3219218708 0  0   0    252     70
2256148131 1093333224  58023   80    6     3
1838352478 21792296  47756   9339    6     2
1439069020 2751356981  37036   64876    17     100
667289462 23905460  37411   443    6     6
2341638422 602983364  10060   443    6     10
1671310342 19734205  53683   8100    6     5
3327712493 3327712113  34068   36562    17     15
1671310342 59506423  51820   8100    6     6
1877913673 2612429156  44677   80    6     4
1803973242 3720603426  27150   54884    6     60
1517406457 18968998  46265   123    17     14
2593639082 724248712  32043   443    6     4
1886895745 23111433  55662   443    6     13
1341312881 2579574336  54033   443    6     4
730555663 23428916  55497   9339    6     1
730555780 23563012  46721   9339    6     8
1136968939 3548110720  12763   53    17     1
314048759 65833816  57002   443    6     4
1113899333 100430793  3633   8000    6     3
2593590016 1712232527  42089   80    6     8
3339523142 724248761  17309   80    6     3
1805944575 1797121255  48714   80    6     2
1671311015 59082223  33177   8100    6     6
1139242668 3692795762  24062   31240    17     15
1800333981 3530307825  5713   80    6     3
1884514555 23484387  12001   443    6     3
3499173166 1227332760  9812   45646    17     60
2576076321 3720603428  50986   33997    6     86
23529076 2579574767  80   58773    6     1
1967539219 19917229  34085   443    6     3
3677653799 2579574704  35512   80    6     1
1783900014 16881078  18615   9339    6     1
3088415618 3547001404  80   58509    6     1
203740446 66882465  52535   80    6     3
3378517361 3530298396  60364   80    6     58
1906304183 66848280  54503   80    6     1
2449668268 3632944689  25386   80    6     354
23887025 23905357  57111   80    6     3
3562337093 60268129  60930   443    6     1
1230203486 1875712481  11986   1194    17     31
2341638442 602983364  6355   443    6     8
3459554081 1797008531  61190   443    6     6
2725473929 731107116  2647   80    6     4
1105479466 3530320757  50377   80    6     4
3597182459 602983364  53266   443    6     5
1956941296 737142383  44256   443    6     1
3617879021 602983364  38616   443    6     5
1691137227 2452052457  51260   50896    17     15
1246725284 3710835839  64726   80    6     4
1956961198 16848940  30118   9339    6     4
655030191 722836096  58845   80    6     2
2717811187 0  0   0    252     719
1547684972 97516102  50644   80    6     3
3341945624 1093333767  2557   80    6     4
2134298786 2579574330  58324   443    6     7
730975466 2579574387  32979   443    6     2
2409388558 602983415  35537   443    6     17
1246719453 3710835821  64176   80    6     7
23887030 60232565  19513   80    6     1
1864759762 19808068  21267   80    6     1
1099951113 2612429154  23219   80    6     126
3327712508 3327712048  44440   37194    17     15
3327711880 3327712020  17296   35904    17     15
1671310356 19875634  39454   8100    6     4
1800324151 3530307824  60829   80    6     3
973666097 3710835905  33640   8970    6     6
2151244645 23111478  21895   443    6     73
3327712493 3327712113  26348   46652    17     15
2123476175 59073232  51549   3389    6     19
2382538530 3327712116  58626   24316    17     15
1671310356 59063473  39078   8100    6     3
3711218633 2405664728  31171   10117    6     3
3721056128 1225182692  80   27767    6     2
730555813 99665261  52425   9339    6     1
2311337688 2579574675  11762   49286    6     5
1263427174 1099792753  80   12992    6     4
3715410324 1760530254  79   59225    6     4
3083063969 736931451  64423   443    6     3
1805949708 23118167  38971   80    6     2
1121837911 23107534  51409   443    6     26
1886269243 23111349  42314   443    6     3
730555767 16918200  39830   9339    6     2
1838352614 19261681  9834   9339    6     2
666314668 23118390  49276   443    6     93
2316069105 100423664  60758   993    6     3
2957324453 100432394  65480   40402    17     15
2550268180 0  0   0    252     264
730555656 16794434  53923   9339    6     1
1165047671 1875764455  17055   10951    17     1
3572722626 602983382  13136   55580    17     38
1904665170 26272711  50874   443    6     3
1956939160 23806291  4029   443    6     1
2185205897 1115883217  54078   51413    17     2
3597182442 602983364  42556   443    6     4
2382538530 3327712116  53510   28206    17     15
1456293818 1711329066  49599   12910    17     1
3691266391 23335107  14488   443    6     6
730555813 19327657  50625   9339    6     1
2579597556 1166016949  3483   16402    17     30
730555816 17564197  57272   9339    6     1
1875735692 59347293  52959   80    6     8
2330907615 100422667  47956   80    6     4
3326442192 1104922660  55084   443    6     7
1232071015 26519656  33213   9339    6     1
3081065816 59381989  48468   443    6     4
2635077320 3547000634  50108   5530    6     5
1122782300 1105763478  27994   24142    17     30
731208288 2579592661  52606   80    6     3
2271350542 723818891  3370   443    6     1
2341638448 602983364  50500   443    6     32
722791721 3710835973  52109   443    6     2
3481811554 23111433  48600   443    6     6
1838352616 26872452  40112   9339    6     1
1838971738 23818640  56478   443    6     3
3459969084 23470723  60997   443    6     2
3327712493 3327712048  59312   16390    17     15
2151496410 23111660  11161   443    6     10
2341638417 602983364  42678   443    6     10
2139752158 66815954  56682   80    6     3
1642218483 3530314051  51218   1935    6     54
